;Pelvis_extension;Pelvis_lateral_flexion_rotation;Pelvis_axial_rotation;LeftHip_flexion;LeftHip_adduction;LeftHip_external_rotation;LeftKnee_flexion;LeftKnee_adduction;LeftKnee_external_rotation;LeftAnkle_dorsiflexion;LeftAnkle_inversion;LeftAnkle_internal_rotation;RightHip_flexion;RightHip_adduction;RightHip_external_rotation;RightKnee_flexion;RightKnee_adduction;RightKnee_external_rotation;RightAnkle_dorsiflexion;RightAnkle_inversion;RightAnkle_internal_rotation;Thorax_extension;Thorax_lateral_flexion_rotation;Thorax_axial_rotation;LeftScapula_protraction;LeftScapula_medial_rotation;LeftScapula_posterior_tilt;LeftShoulder_flexion;LeftShoulder_abduction;LeftShoulder_external_rotation;LeftElbow_flexion;LeftElbow_abduction;LeftElbow_pronation;LeftWrist_flexion;LeftWrist_abduction;LeftWrist_pronation;Neck_flexion;Neck_left-ward_tilt;Neck_right-ward_rotation;RightScapula_protraction;RightScapula_medial_rotation;RightScapula_posterior_tilt;RightShoulder_flexion;RightShoulder_abduction;RightShoulder_external_rotation;RightElbow_flexion;RightElbow_abduction;RightElbow_pronation;RightWrist_flexion;RightWrist_abduction;RightWrist_pronation;
Pelvis_extension;1;0,185906614;-0,130370408;-0,017923671;-0,047869102;0,217548399;-0,298955295;-0,38083325;0,316341572;0,282112385;0,150502799;-0,243484441;0,654999684;-0,603609782;-0,082052034;-0,714491474;-0,547019979;0,440863868;0,293966372;0,368489261;0,200639147;-0,351793832;0,248595091;0,102284782;-0,165888332;0,259461339;-0,10430876;-0,007376306;0,320728624;-0,208937398;0,214255288;-0,314541076;0,220462059;-0,32352549;0,061610781;0,303140266;0,023468868;0,113628959;0,000717266;-0,066392877;-0,021774001;0,083651966;-0,012594024;0,180274408;-0,277017741;0,203110779;-0,321782423;0,111078516;-0,309370053;0,246838236;0,115501449;
Pelvis_lateral_flexion_rotation;0,185906614;1;-0,364205945;0,086172619;0,779550001;-0,065249355;-0,272149871;-0,323673301;0,217937571;0,187140917;-0,350461966;-0,439867419;0,355886384;-0,591287207;0,381774095;-0,291671953;-0,265416378;0,063811167;0,142208624;0,453007385;-0,25996932;0,069660803;0,677472487;0,245766713;-0,432934972;0,561602269;0,318160134;-0,010554297;0,235807922;-0,346297206;-0,122636333;-0,111461487;-0,126049504;-0,064758972;-0,072045277;0,180370504;-0,017165989;0,15282383;0,039414495;-0,35437346;-0,322764983;-0,035107756;0,131117458;0,282435395;0,090569914;0,42097273;-0,280696157;0,214416714;-0,274696658;-0,023397185;-0,09033754;
Pelvis_axial_rotation;-0,130370408;-0,364205945;1;-0,132585429;-0,097049758;0,167925116;0,185579788;0,259444679;-0,192114471;-0,149123077;0,169669762;0,313535983;-0,368928773;0,315188719;-0,045589353;0,355947216;0,304385695;-0,168783336;-0,232700556;-0,246038338;-0,183251113;0,256977991;-0,368095918;0,509645265;0,340712387;-0,202089737;0,191903703;-0,209547207;-0,163246582;0,402006283;0,002659057;0,207401478;0,065132996;0,171037924;0,057303524;-0,152521142;0,000953362;-0,06147133;0,023105223;0,032097614;0,128603692;-0,272396874;-0,171614348;-0,084593925;0,194339029;-0,062143922;0,234029874;0,082021726;0,188689927;-0,043751381;-0,134919183;
LeftHip_flexion;-0,017923671;0,086172619;-0,132585429;1;-0,147454492;0,15334671;-0,824300507;-0,641022771;0,489305592;0,587517867;0,146074364;-0,480652558;0,309538932;-0,449455745;-0,630938841;-0,376582462;-0,071204418;0,204288547;0,546058745;-0,185485598;0,526407471;-0,511829643;0,325857531;-0,41826859;-0,561111336;0,651809821;-0,365608672;0,407227212;0,638813048;-0,522398602;0,388054437;-0,547545187;0,269689458;-0,5802452;-0,227642554;0,623473651;-0,000277594;0,124541413;0,035223815;-0,280114094;0,523921762;0,216076947;0,308231625;0,678853404;-0,405406287;0,343746555;-0,560750808;0,038227451;-0,66722709;0,224177717;0,274054471;
LeftHip_adduction;-0,047869102;0,779550001;-0,097049758;-0,147454492;1;0,19756258;-0,097876914;-0,241563136;0,155740684;-0,024003529;-0,52662349;-0,39672817;-0,051112277;-0,169141391;0,668806539;0,118507313;0,07429991;-0,250761675;-0,126023172;0,209742704;-0,572707589;0,256336659;0,322729331;0,379936837;-0,055786137;0,111579109;0,403644597;-0,141401099;-0,261123067;0,018020005;-0,337162508;0,314702163;-0,306598596;0,379758373;-0,073971769;-0,262234898;-0,005708324;0,092141295;0,049262906;-0,090156852;-0,552824463;0,007896195;0,068714848;-0,141219727;0,39622671;0,285485153;0,176736935;0,282209661;0,203530051;-0,323542904;-0,203605875;
LeftHip_external_rotation;0,217548399;-0,065249355;0,167925116;0,15334671;0,19756258;1;-0,312876822;-0,393998576;0,333712466;0,245905697;0,077946562;-0,696916964;0,11640472;-0,152763868;-0,060338155;-0,218607033;-0,16875045;0,254046619;0,306692326;-0,172776519;0,094311825;-0,152296305;-0,100290998;0,184398296;0,230980386;-0,123405923;-0,080925434;-0,142604774;-0,092797678;0,16227245;-0,079846218;0,057259283;-0,02080773;0,075661429;0,129812583;-0,026279383;0,017806517;0,021365683;0,017289739;0,118588185;-0,078346023;0,091627812;-0,104876634;-0,117054568;0,039408824;0,041189285;0,097306474;0,175956109;0,111048399;0,037926083;0,100182711;
LeftKnee_flexion;-0,298955295;-0,272149871;0,185579788;-0,824300507;-0,097876914;-0,312876822;1;0,852831465;-0,639935667;-0,813790309;0,119595766;0,592228256;-0,34498119;0,525237208;0,482418921;0,429541195;0,026617711;-0,076374488;-0,392667592;0,001171063;-0,455852651;0,431101109;-0,377258169;0,26408887;0,485220335;-0,613038161;0,255018425;-0,222976998;-0,55276391;0,471696881;-0,332555965;0,523572587;-0,237592681;0,531338797;0,108301973;-0,552430392;-0,011554352;-0,140576837;-0,047216442;0,343423305;-0,348800548;-0,160807077;-0,190166519;-0,561309114;0,318657528;-0,45398725;0,558014326;-0,188707025;0,606756892;-0,23461971;-0,199440357;-0,543155621
LeftKnee_adduction;-0,38083325;-0,323673301;0,259444679;-0,641022771;-0,241563136;-0,393998576;0,852831465;1;-0,775595627;-0,656781485;0,160134668;0,624064621;-0,418564276;0,592895741;0,303618658;0,490415701;0,190062854;-0,150548887;-0,364563089;-0,077989105;-0,3795043;0,450726542;-0,371234717;0,217497748;0,371404467;-0,447551283;0,2364497;-0,150846387;-0,35621268;0,409150807;-0,215745514;0,389393356;-0,173600663;0,391547761;0,0287116;-0,411003701;-0,022717586;-0,185260402;-0,056336238;0,211537815;-0,074536306;-0,29767023;-0,14132126;-0,290243782;0,242474861;-0,367960229;0,422650651;-0,201343938;0,458574748;-0,186344508;-0,246656153;
LeftKnee_external_rotation;0,316341572;0,217937571;-0,192114471;0,489305592;0,155740684;0,333712466;-0,639935667;-0,775595627;1;0,494579403;-0,07458147;-0,489953706;0,338938772;-0,463001405;-0,229353466;-0,400159764;-0,190015092;0,173166524;0,302914057;0,064518022;0,287151484;-0,365177531;0,27175625;-0,17554217;-0,273911959;0,320775132;-0,205082511;0,116263249;0,267267607;-0,302760937;0,190334182;-0,290987928;0,179475588;-0,295205378;-0,02382721;0,317818411;0,011545947;0,135873194;0,034306141;-0,126128104;0,056154322;0,248457234;0,104121142;0,209363859;-0,197825759;0,255642585;-0,310062207;0,145624127;-0,338547012;0,15631451;0,214135359;
LeftAnkle_dorsiflexion;0,282112385;0,187140917;-0,149123077;0,587517867;-0,024003529;0,245905697;-0,813790309;-0,656781485;0,494579403;1;-0,198973825;-0,440222786;0,259412406;-0,394688544;-0,508881763;-0,332366379;-0,006249193;0,077177697;0,239672697;0,071207443;0,493764976;-0,248055155;0,348380118;-0,188704859;-0,363426888;0,513546863;-0,160172554;0,061978972;0,537570534;-0,405282401;0,274577735;-0,546504095;0,267991323;-0,553788015;0,094954996;0,556334236;0,009317428;0,088870958;0,037766896;-0,402867537;0,355232127;-0,029270673;-0,005312307;0,472558015;-0,302327369;0,32367581;-0,57207677;0,13768697;-0,564274657;0,377782526;0,167487674;
